Time	Showa
2019-03-25 00:00	44584
2019-03-29 00:00	44951
2019-04-01 00:00	44900
2019-04-05 00:00	44934
2019-04-09 00:00	45048
2019-04-12 00:00	45581
2019-04-16 00:00	45289
2019-04-19 00:00	45659
2019-04-23 00:00	45160
2019-04-27 00:00	45722
2019-04-30 00:00	45583
2019-05-04 00:00	45756
2019-05-08 00:00	45182
2019-05-11 00:00	45785
2019-05-15 00:00	45778
2019-05-19 00:00	45775
2019-05-22 00:00	45966
2019-05-26 00:00	45968
2019-05-30 00:00	45591
2019-06-02 00:00	45961
2019-06-06 00:00	46144
2019-06-10 00:00	46330
2019-06-13 00:00	46333
2019-06-17 00:00	45618
2019-06-20 00:00	45779
2019-06-24 00:00	45974
2019-06-28 00:00	45672
2019-07-01 00:00	46415
2019-07-05 00:00	46270
2019-07-09 00:00	46735
2019-07-12 00:00	46350
2019-07-16 00:00	46631
2019-07-20 00:00	46352
2019-07-23 00:00	46307
2019-07-27 00:00	46585
2019-07-31 00:00	46684
2019-08-03 00:00	46420
2019-08-07 00:00	46195
2019-08-10 00:00	46967
2019-08-14 00:00	46536
2019-08-18 00:00	46159
2019-08-21 00:00	46677
2019-08-25 00:00	46495
2019-08-29 00:00	46548
2019-09-01 00:00	46331
2019-09-05 00:00	46049
2019-09-09 00:00	45929
2019-09-12 00:00	45709
2019-09-16 00:00	45919
2019-09-20 00:00	45836
2019-09-23 00:00	46359
2019-09-27 00:00	45963
2019-10-01 00:00	45225
2019-10-04 00:00	44812
2019-10-08 00:00	45778
2019-10-11 00:00	45310
2019-10-15 00:00	45072
2019-10-19 00:00	45177
2019-10-22 00:00	45327
2019-10-26 00:00	44738
2019-10-30 00:00	44649
2019-11-02 00:00	45152
2019-11-06 00:00	44873
2019-11-10 00:00	44337
2019-11-13 00:00	44585
2019-11-17 00:00	44612
2019-11-21 00:00	44419
2019-11-24 00:00	44325
2019-11-28 00:00	44266
2019-12-02 00:00	43942
2019-12-05 00:00	43994
2019-12-09 00:00	43543
2019-12-12 00:00	44080
2019-12-16 00:00	44061
2019-12-20 00:00	43383
2019-12-23 00:00	44072
2019-12-27 00:00	43997
2019-12-31 00:00	43817
2020-01-03 00:00	43725
2020-01-07 00:00	43895
2020-01-11 00:00	43997
2020-01-14 00:00	43958
2020-01-18 00:00	44038
2020-01-22 00:00	43888
2020-01-25 00:00	43817
2020-01-29 00:00	43802
2020-02-01 00:00	43993
2020-02-05 00:00	44189
2020-02-09 00:00	43863
2020-02-12 00:00	44320
2020-02-16 00:00	44262
2020-02-20 00:00	44241
2020-02-23 00:00	44073
2020-02-27 00:00	44279
2020-03-02 00:00	44259
2020-03-05 00:00	44441
2020-03-09 00:00	44229
2020-03-13 00:00	44695
2020-03-16 00:00	44647
2020-03-20 00:00	44477
2020-03-24 00:00	44073
2020-03-27 00:00	44657
2020-03-31 00:00	44574
2020-04-03 00:00	44501
2020-04-07 00:00	44950
2020-04-11 00:00	44544
2020-04-14 00:00	44924
2020-04-18 00:00	45016
2020-04-22 00:00	45196
2020-04-25 00:00	45374
2020-04-29 00:00	44910
2020-05-03 00:00	45200
2020-05-06 00:00	45609
2020-05-10 00:00	45496
2020-05-14 00:00	45806
2020-05-17 00:00	45052
2020-05-21 00:00	45770
2020-05-25 00:00	45086
2020-05-28 00:00	45838
2020-06-01 00:00	45482
2020-06-04 00:00	46225
2020-06-08 00:00	45896
2020-06-12 00:00	45558
2020-06-15 00:00	46083
2020-06-19 00:00	45821
2020-06-23 00:00	45896
2020-06-26 00:00	46182
2020-06-30 00:00	46442
2020-07-04 00:00	46032
2020-07-07 00:00	45685
2020-07-11 00:00	46052
2020-07-15 00:00	45794
2020-07-18 00:00	45795
2020-07-22 00:00	45991
2020-07-25 00:00	46100
2020-07-29 00:00	46449
2020-08-02 00:00	46387
2020-08-05 00:00	46162
2020-08-09 00:00	46014
2020-08-13 00:00	45980
2020-08-16 00:00	45863
2020-08-20 00:00	45799
2020-08-24 00:00	46290
2020-08-27 00:00	46082
2020-08-31 00:00	45239
2020-09-04 00:00	45881
2020-09-07 00:00	46198
2020-09-11 00:00	45670
2020-09-15 00:00	45570
2020-09-18 00:00	46124
2020-09-22 00:00	45661
2020-09-25 00:00	45666
2020-09-29 00:00	45616
2020-10-03 00:00	45986
2020-10-06 00:00	45973
2020-10-10 00:00	45617
2020-10-14 00:00	46032
2020-10-17 00:00	45638
2020-10-21 00:00	45633
2020-10-25 00:00	45370
2020-10-28 00:00	45557
2020-11-01 00:00	45608
2020-11-05 00:00	45172
2020-11-08 00:00	44720
2020-11-12 00:00	44257
2020-11-16 00:00	44531
2020-11-19 00:00	44250
2020-11-23 00:00	44899
2020-11-26 00:00	44652
2020-11-30 00:00	44359
2020-12-04 00:00	44378
2020-12-07 00:00	44066
2020-12-11 00:00	44419
2020-12-15 00:00	44063
2020-12-18 00:00	44167
2020-12-22 00:00	43666
2020-12-26 00:00	43785
2020-12-29 00:00	43980
2021-01-02 00:00	43918
2021-01-06 00:00	43602
2021-01-09 00:00	43551
2021-01-13 00:00	43597
2021-01-16 00:00	
2021-01-20 00:00	
2021-01-24 00:00	
2021-01-27 00:00	43762
2021-01-31 00:00	43527
2021-02-04 00:00	43488
2021-02-07 00:00	43426
2021-02-11 00:00	43568
2021-02-15 00:00	43659
2021-02-18 00:00	43738
2021-02-22 00:00	43651
2021-02-26 00:00	43643
2021-03-01 00:00	43070
2021-03-05 00:00	43597
2021-03-09 00:00	43758
2021-03-12 00:00	43534
2021-03-16 00:00	43797
2021-03-19 00:00	43604
2021-03-23 00:00	43673
2021-03-27 00:00	43883
2021-03-30 00:00	44035
2021-04-03 00:00	44219
2021-04-07 00:00	44250
2021-04-10 00:00	44653
2021-04-14 00:00	44276
2021-04-18 00:00	44399
2021-04-21 00:00	44099
2021-04-25 00:00	44951
2021-04-29 00:00	44653
2021-05-02 00:00	45265
2021-05-06 00:00	44212
2021-05-10 00:00	44746
2021-05-13 00:00	44830
2021-05-17 00:00	44527
2021-05-20 00:00	45243
2021-05-24 00:00	44713
2021-05-28 00:00	45286
2021-05-31 00:00	45409
2021-06-04 00:00	45008
2021-06-08 00:00	45647
2021-06-11 00:00	45705
2021-06-15 00:00	44971
2021-06-19 00:00	44822
2021-06-22 00:00	45356
2021-06-26 00:00	45246
2021-06-30 00:00	45074
2021-07-03 00:00	45306
2021-07-07 00:00	45548
2021-07-10 00:00	45445
2021-07-14 00:00	45635
2021-07-18 00:00	45411
2021-07-21 00:00	45542
2021-07-25 00:00	45254
2021-07-29 00:00	45629
2021-08-01 00:00	45481
2021-08-05 00:00	45700
2021-08-09 00:00	45077
2021-08-12 00:00	45320
2021-08-16 00:00	46104
2021-08-20 00:00	45515
2021-08-23 00:00	45169
2021-08-27 00:00	44880
2021-08-31 00:00	45060
2021-09-03 00:00	45022
2021-09-07 00:00	45625
2021-09-10 00:00	45384
2021-09-14 00:00	44892
2021-09-18 00:00	44925
2021-09-21 00:00	45177
2021-09-25 00:00	45039
