Time	Showa
2019-03-29 00:00	53219
2019-04-01 00:00	52931
2019-04-05 00:00	53596
2019-04-09 00:00	53040
2019-04-12 00:00	53471
2019-04-16 00:00	52971
2019-04-19 00:00	53493
2019-04-23 00:00	52951
2019-04-27 00:00	53269
2019-04-30 00:00	53052
2019-05-04 00:00	53282
2019-05-08 00:00	51561
2019-05-11 00:00	52459
2019-05-15 00:00	52522
2019-05-19 00:00	52674
2019-05-22 00:00	53064
2019-05-26 00:00	52943
2019-05-30 00:00	52552
2019-06-02 00:00	52646
2019-06-06 00:00	52833
2019-06-10 00:00	52955
2019-06-13 00:00	52590
2019-06-17 00:00	52643
2019-06-20 00:00	52979
2019-06-24 00:00	52510
2019-06-28 00:00	52264
2019-07-01 00:00	53046
2019-07-05 00:00	52497
2019-07-09 00:00	52827
2019-07-12 00:00	52634
2019-07-16 00:00	52786
2019-07-20 00:00	52944
2019-07-23 00:00	53030
2019-07-27 00:00	52620
2019-07-31 00:00	53204
2019-08-03 00:00	52441
2019-08-07 00:00	52409
2019-08-10 00:00	52699
2019-08-14 00:00	52675
2019-08-18 00:00	52604
2019-08-21 00:00	52889
2019-08-25 00:00	52728
2019-08-29 00:00	52500
2019-09-01 00:00	52675
2019-09-05 00:00	53282
2019-09-09 00:00	52573
2019-09-12 00:00	52630
2019-09-16 00:00	52947
2019-09-20 00:00	53288
2019-09-23 00:00	53208
2019-09-27 00:00	52896
2019-10-01 00:00	52358
2019-10-04 00:00	52479
2019-10-08 00:00	53132
2019-10-11 00:00	52391
2019-10-15 00:00	52551
2019-10-19 00:00	52651
2019-10-22 00:00	52633
2019-10-26 00:00	52505
2019-10-30 00:00	52050
2019-11-02 00:00	52976
2019-11-06 00:00	53254
2019-11-10 00:00	53241
2019-11-13 00:00	52943
2019-11-17 00:00	52930
2019-11-21 00:00	52995
2019-11-24 00:00	52874
2019-11-28 00:00	52719
2019-12-02 00:00	53352
2019-12-05 00:00	53243
2019-12-09 00:00	52953
2019-12-12 00:00	53303
2019-12-16 00:00	53354
2019-12-20 00:00	53494
2019-12-23 00:00	53601
2019-12-27 00:00	53244
2019-12-31 00:00	53570
2020-01-03 00:00	53265
2020-01-07 00:00	53740
2020-01-11 00:00	54367
2020-01-14 00:00	47163
2020-01-18 00:00	50115
2020-01-22 00:00	54033
2020-01-25 00:00	54266
2020-01-29 00:00	53788
2020-02-01 00:00	54179
2020-02-05 00:00	54070
2020-02-09 00:00	54088
2020-02-12 00:00	54738
2020-02-16 00:00	53716
2020-02-20 00:00	54265
2020-02-23 00:00	53964
2020-02-27 00:00	53916
2020-03-02 00:00	53881
2020-03-05 00:00	54154
2020-03-09 00:00	53854
2020-03-13 00:00	54230
2020-03-16 00:00	54110
2020-03-20 00:00	53679
2020-03-24 00:00	54223
2020-03-27 00:00	53795
2020-03-31 00:00	54030
2020-04-03 00:00	53890
2020-04-07 00:00	53591
2020-04-11 00:00	53641
2020-04-14 00:00	53711
2020-04-18 00:00	53382
2020-04-22 00:00	53768
2020-04-25 00:00	53853
2020-04-29 00:00	53248
2020-05-03 00:00	53812
2020-05-06 00:00	54013
2020-05-10 00:00	53961
2020-05-14 00:00	54164
2020-05-17 00:00	53894
2020-05-21 00:00	53918
2020-05-25 00:00	53943
2020-05-28 00:00	
2020-06-01 00:00	
2020-06-04 00:00	
2020-06-08 00:00	
2020-06-12 00:00	
2020-06-15 00:00	
2020-06-19 00:00	
2020-06-23 00:00	
2020-06-26 00:00	53829
2020-06-30 00:00	53550
2020-07-04 00:00	53413
2020-07-07 00:00	53491
2020-07-11 00:00	52724
2020-07-15 00:00	52953
2020-07-18 00:00	53125
2020-07-22 00:00	53010
2020-07-25 00:00	53454
2020-07-29 00:00	53346
2020-08-02 00:00	53412
2020-08-05 00:00	53588
2020-08-09 00:00	53213
2020-08-13 00:00	53117
2020-08-16 00:00	53408
2020-08-20 00:00	53301
2020-08-24 00:00	53097
2020-08-27 00:00	53223
2020-08-31 00:00	53075
2020-09-04 00:00	53925
2020-09-07 00:00	53070
2020-09-11 00:00	53040
2020-09-15 00:00	53187
2020-09-18 00:00	53211
2020-09-22 00:00	52882
2020-09-25 00:00	52717
2020-09-29 00:00	53124
2020-10-03 00:00	53121
2020-10-06 00:00	53020
2020-10-10 00:00	52891
2020-10-14 00:00	53320
2020-10-17 00:00	52802
2020-10-21 00:00	52652
2020-10-25 00:00	52564
2020-10-28 00:00	53288
2020-11-01 00:00	53085
2020-11-05 00:00	52742
2020-11-08 00:00	52775
2020-11-12 00:00	52885
2020-11-16 00:00	52792
2020-11-19 00:00	52210
2020-11-23 00:00	52826
2020-11-26 00:00	53090
2020-11-30 00:00	52119
2020-12-04 00:00	52319
2020-12-07 00:00	52239
2020-12-11 00:00	52752
2020-12-15 00:00	52582
2020-12-18 00:00	53046
2020-12-22 00:00	53096
2020-12-26 00:00	53930
2020-12-29 00:00	53814
2021-01-02 00:00	53422
2021-01-06 00:00	53856
2021-01-09 00:00	53317
2021-01-13 00:00	52973
2021-01-16 00:00	53554
2021-01-20 00:00	53448
2021-01-24 00:00	53896
2021-01-27 00:00	54396
2021-01-31 00:00	53455
2021-02-04 00:00	53308
2021-02-07 00:00	53501
2021-02-11 00:00	53278
2021-02-15 00:00	53814
2021-02-18 00:00	53732
2021-02-22 00:00	53132
2021-02-26 00:00	53864
2021-03-01 00:00	54183
2021-03-05 00:00	53746
2021-03-09 00:00	53811
2021-03-12 00:00	53329
2021-03-16 00:00	53805
2021-03-19 00:00	53371
2021-03-23 00:00	53109
2021-03-27 00:00	53457
2021-03-30 00:00	53298
2021-04-03 00:00	52987
2021-04-07 00:00	53034
2021-04-10 00:00	52953
2021-04-14 00:00	52127
2021-04-18 00:00	52170
2021-04-21 00:00	52354
2021-04-25 00:00	53116
2021-04-29 00:00	52460
2021-05-02 00:00	52901
2021-05-06 00:00	51986
2021-05-10 00:00	52173
2021-05-13 00:00	52259
2021-05-17 00:00	51783
2021-05-20 00:00	53215
2021-05-24 00:00	51998
2021-05-28 00:00	52755
2021-05-31 00:00	52842
2021-06-04 00:00	51931
2021-06-08 00:00	52735
2021-06-11 00:00	52293
2021-06-15 00:00	52080
2021-06-19 00:00	52275
2021-06-22 00:00	52616
2021-06-26 00:00	52321
2021-06-30 00:00	52071
2021-07-03 00:00	51944
2021-07-07 00:00	52426
2021-07-10 00:00	52327
2021-07-14 00:00	52621
2021-07-18 00:00	51909
2021-07-21 00:00	52174
2021-07-25 00:00	51657
2021-07-29 00:00	52062
2021-08-01 00:00	51881
2021-08-05 00:00	52184
2021-08-09 00:00	52274
2021-08-12 00:00	52188
2021-08-16 00:00	53305
2021-08-20 00:00	53014
2021-08-23 00:00	52567
2021-08-27 00:00	52091
2021-08-31 00:00	52266
2021-09-03 00:00	52248
2021-09-07 00:00	52494
2021-09-10 00:00	52676
2021-09-14 00:00	52249
2021-09-18 00:00	51897
2021-09-21 00:00	52039
2021-09-25 00:00	51931
2021-09-29 00:00	52579
2021-10-02 00:00	53111
2021-10-06 00:00	52534
2021-10-10 00:00	52161
2021-10-13 00:00	52172
2021-10-17 00:00	52103
2021-10-21 00:00	51823
2021-10-24 00:00	52373
2021-10-28 00:00	52087
2021-11-01 00:00	49251
2021-11-04 00:00	51230
2021-11-08 00:00	52114
2021-11-11 00:00	52823
2021-11-15 00:00	51577
2021-11-19 00:00	52080
2021-11-22 00:00	52904
2021-11-26 00:00	52563
2021-11-30 00:00	51993
2021-12-03 00:00	52311
2021-12-07 00:00	52479
2021-12-11 00:00	53112
2021-12-14 00:00	52912
2021-12-18 00:00	52390
2021-12-22 00:00	52749
2021-12-25 00:00	78996
2021-12-29 00:00	53231
